"","CONTROL","transport_mode","journey_time","journey_distance","gender","income","age","transport_wide","percent_time"
"382",1464,"Truck",5,4,"female",8000,66,"Personal_vehicle",0.347222222222222
"383",1466,"Truck",10,5,"female",0,26,"Personal_vehicle",0.694444444444444
"384",1476,"Truck",45,30,"male",51000,45,"Personal_vehicle",3.125
"385",1480,"Truck",15,5,"female",3000,22,"Personal_vehicle",1.04166666666667
"387",1487,"Truck",15,5,"female",12000,21,"Personal_vehicle",1.04166666666667
"388",1489,"Truck",30,14,"male",15600,59,"Personal_vehicle",2.08333333333333
"390",1500,"Truck",15,16,"male",13000,54,"Personal_vehicle",1.04166666666667
"391",1501,"Car",5,1,"female",55000,50,"Personal_vehicle",0.347222222222222
"392",1503,"Van",20,12,"female",0,19,"Personal_vehicle",1.38888888888889
"393",1505,"Truck",10,5,"male",8000,64,"Personal_vehicle",0.694444444444444
"394",1507,"Truck",20,7,"male",0,29,"Personal_vehicle",1.38888888888889
"395",1509,"Car",30,10,"male",15000,50,"Personal_vehicle",2.08333333333333
"396",1516,"Car",40,24,"male",0,19,"Personal_vehicle",2.77777777777778
"397",1521,"Car",30,10,"male",120000,40,"Personal_vehicle",2.08333333333333
"398",1529,"Truck",10,4,"female",25000,27,"Personal_vehicle",0.694444444444444
"399",1532,"Car",20,10,"male",30000,58,"Personal_vehicle",1.38888888888889
"400",1534,"Truck",20,2,"male",50000,58,"Personal_vehicle",1.38888888888889
"402",1538,"Car",15,10,"female",0,17,"Personal_vehicle",1.04166666666667
"404",1550,"Car",30,20,"female",18000,51,"Personal_vehicle",2.08333333333333
"405",1558,"Truck",25,15,"male",37000,55,"Personal_vehicle",1.73611111111111
"406",1560,"Car",15,10,"male",0,76,"Personal_vehicle",1.04166666666667
"407",1561,"Car",10,7,"female",25000,41,"Personal_vehicle",0.694444444444444
"408",1568,"Truck",5,5,"female",17500,39,"Personal_vehicle",0.347222222222222
"409",1570,"Truck",25,11,"male",0,17,"Personal_vehicle",1.73611111111111
"410",1574,"Car",15,6,"male",51000,60,"Personal_vehicle",1.04166666666667
"411",1575,"Car",20,6,"male",1,41,"Personal_vehicle",1.38888888888889
"412",1577,"Truck",5,3,"male",0,19,"Personal_vehicle",0.347222222222222
"413",1579,"Car",5,2,"female",25000,59,"Personal_vehicle",0.347222222222222
"414",1582,"Truck",5,3,"male",40000,50,"Personal_vehicle",0.347222222222222
"415",1586,"Car",40,30,"male",22727,61,"Personal_vehicle",2.77777777777778
"416",1590,"Truck",15,4,"male",37000,47,"Personal_vehicle",1.04166666666667
"417",1591,"Van",20,10,"male",45000,46,"Personal_vehicle",1.38888888888889
"418",1593,"Truck",15,5,"female",0,82,"Personal_vehicle",1.04166666666667
"419",1595,"Truck",15,5,"male",50000,25,"Personal_vehicle",1.04166666666667
"420",1604,"Car",13,3,"male",8000,42,"Personal_vehicle",0.902777777777778
"421",1606,"Car",5,3,"female",62000,55,"Personal_vehicle",0.347222222222222
"423",1616,"Car",30,15,"female",0,93,"Personal_vehicle",2.08333333333333
"424",1618,"Car",20,15,"female",0,23,"Personal_vehicle",1.38888888888889
"425",1621,"Truck",30,40,"male",0,70,"Personal_vehicle",2.08333333333333
"426",1622,"Truck",20,12,"male",60000,32,"Personal_vehicle",1.38888888888889
"427",1626,"Car",20,12,"female",0,67,"Personal_vehicle",1.38888888888889
"428",1630,"Truck",17,10,"male",0,73,"Personal_vehicle",1.18055555555556
"429",1632,"Truck",20,6,"male",70000,61,"Personal_vehicle",1.38888888888889
"430",1634,"Car",15,5,"male",0,41,"Personal_vehicle",1.04166666666667
"431",1637,"Car",20,5,"male",0,69,"Personal_vehicle",1.38888888888889
"432",1644,"Truck",30,15,"male",25000,59,"Personal_vehicle",2.08333333333333
"433",1646,"Car",25,10,"male",93000,39,"Personal_vehicle",1.73611111111111
"435",1654,"Truck",30,20,"male",0,29,"Personal_vehicle",2.08333333333333
"436",1656,"Truck",20,12,"female",20000,45,"Personal_vehicle",1.38888888888889
"437",1662,"Car",10,13,"male",51000,24,"Personal_vehicle",0.694444444444444
"438",1666,"Car",12,5,"female",80000,60,"Personal_vehicle",0.833333333333333
"439",1670,"Car",5,2,"male",18304,43,"Personal_vehicle",0.347222222222222
"440",1678,"Truck",8,2,"male",0,16,"Personal_vehicle",0.555555555555556
"441",1680,"Car",20,15,"female",37000,59,"Personal_vehicle",1.38888888888889
"442",1685,"Car",40,10,"female",600,17,"Personal_vehicle",2.77777777777778
"444",1693,"Truck",8,3,"female",40000,36,"Personal_vehicle",0.555555555555556
"445",1696,"Car",30,20,"female",50000,53,"Personal_vehicle",2.08333333333333
"446",1698,"Truck",20,10,"female",0,64,"Personal_vehicle",1.38888888888889
"447",1703,"Car",5,2,"female",36000,47,"Personal_vehicle",0.347222222222222
"448",1705,"Car",30,20,"female",35000,49,"Personal_vehicle",2.08333333333333
"449",1710,"Car",10,5,"male",0,15,"Personal_vehicle",0.694444444444444
"450",1717,"Motorcycle",10,5,"female",0,71,"Personal_vehicle",0.694444444444444
"451",1718,"Car",1,1,"female",0,23,"Personal_vehicle",0.0694444444444444
"453",1728,"Car",10,4,"male",26000,27,"Personal_vehicle",0.694444444444444
"454",1730,"Truck",20,18,"male",17940,43,"Personal_vehicle",1.38888888888889
"455",1734,"Truck",15,3,"male",0,36,"Personal_vehicle",1.04166666666667
"456",1736,"Car",5,3,"male",0,30,"Personal_vehicle",0.347222222222222
"457",1745,"Works_home",NA,NA,"female",3000,22,"Other",NA
"458",1747,"Truck",30,8,"male",20000,52,"Personal_vehicle",2.08333333333333
"459",1749,"Car",10,6,"female",0,58,"Personal_vehicle",0.694444444444444
"460",1759,"Truck",30,25,"male",80000,28,"Personal_vehicle",2.08333333333333
"461",1763,"Car",30,8,"male",38000,49,"Personal_vehicle",2.08333333333333
"466",1785,"Truck",20,8,"male",75000,44,"Personal_vehicle",1.38888888888889
"467",1787,"Car",20,15,"male",80000,42,"Personal_vehicle",1.38888888888889
"468",1789,"Car",30,15,"male",20000,27,"Personal_vehicle",2.08333333333333
"469",1793,"Car",10,2,"female",5000,68,"Personal_vehicle",0.694444444444444
"471",1802,"Works_home",NA,NA,"female",98000,49,"Other",NA
"473",1805,"Truck",25,20,"female",37000,43,"Personal_vehicle",1.73611111111111
"474",1809,"Truck",80,80,"male",262070,65,"Personal_vehicle",5.55555555555556
"475",1817,"Truck",20,5,"female",55000,51,"Personal_vehicle",1.38888888888889
"476",1820,"Van",20,15,"female",0,18,"Personal_vehicle",1.38888888888889
"477",1825,"Truck",20,15,"female",42000,30,"Personal_vehicle",1.38888888888889
"478",1828,"Car",5,3,"female",54000,48,"Personal_vehicle",0.347222222222222
"479",1834,"Car",17,6,"female",45000,55,"Personal_vehicle",1.18055555555556
"480",1836,"Works_home",NA,NA,"male",0,66,"Other",NA
"481",1842,"Works_home",NA,NA,"female",64000,40,"Other",NA
"482",1848,"Car",30,20,"male",0,56,"Personal_vehicle",2.08333333333333
"483",1851,"Truck",45,15,"female",24000,54,"Personal_vehicle",3.125
"484",1858,"Other",90,9,"female",7296,53,"Other",6.25
"485",1860,"Car",20,10,"male",85000,59,"Personal_vehicle",1.38888888888889
"486",1864,"Van",40,10,"female",37000,58,"Personal_vehicle",2.77777777777778
"487",1866,"Truck",15,12,"male",16800,63,"Personal_vehicle",1.04166666666667
"488",1868,"Car",7,7,"male",0,64,"Personal_vehicle",0.486111111111111
"490",1874,"Truck",45,15,"male",50000,46,"Personal_vehicle",3.125
"492",1882,"Truck",10,13,"female",18000,59,"Personal_vehicle",0.694444444444444
"493",1883,"Car",20,10,"female",93000,26,"Personal_vehicle",1.38888888888889
"494",1887,"Car",20,12,"male",0,59,"Personal_vehicle",1.38888888888889
"495",1894,"Car",30,28,"male",50000,46,"Personal_vehicle",2.08333333333333
"496",1896,"Car",25,17,"male",0,34,"Personal_vehicle",1.73611111111111
"497",1898,"Truck",15,5,"female",17280,63,"Personal_vehicle",1.04166666666667
"499",1903,"Car",15,10,"female",55000,31,"Personal_vehicle",1.04166666666667
"500",1906,"Truck",20,7,"female",0,32,"Personal_vehicle",1.38888888888889
"501",1913,"Car",30,8,"female",80900,53,"Personal_vehicle",2.08333333333333
"502",1915,"Car",15,10,"male",56000,30,"Personal_vehicle",1.04166666666667
"503",1917,"Car",20,12,"male",33000,57,"Personal_vehicle",1.38888888888889
"505",1922,"Van",25,15,"female",0,52,"Personal_vehicle",1.73611111111111
"506",1933,"Car",90,75,"male",55000,61,"Personal_vehicle",6.25
"507",1937,"Truck",40,25,"male",76000,54,"Personal_vehicle",2.77777777777778
"508",1939,"Car",12,5,"female",50000,63,"Personal_vehicle",0.833333333333333
"510",1943,"Car",30,30,"male",9000,59,"Personal_vehicle",2.08333333333333
"511",1946,"Car",15,10,"male",50000,56,"Personal_vehicle",1.04166666666667
"512",1948,"Car",45,22,"female",57000,58,"Personal_vehicle",3.125
"513",1951,"Truck",20,7,"female",72000,54,"Personal_vehicle",1.38888888888889
"514",1953,"Truck",90,60,"male",85000,36,"Personal_vehicle",6.25
"516",1963,"Truck",40,21,"male",66000,46,"Personal_vehicle",2.77777777777778
"518",1972,"Car",10,5,"female",100000,33,"Personal_vehicle",0.694444444444444
"519",1977,"Works_home",NA,NA,"male",0,66,"Other",NA
"520",1979,"Car",20,17,"female",33000,36,"Personal_vehicle",1.38888888888889
"522",1988,"Works_home",NA,NA,"female",35000,67,"Other",NA
"523",1990,"Car",3,1,"female",0,71,"Personal_vehicle",0.208333333333333
"525",2002,"Truck",20,12,"male",35000,41,"Personal_vehicle",1.38888888888889
"527",2007,"Car",10,7,"male",16800,36,"Personal_vehicle",0.694444444444444
"528",2016,"Car",35,30,"female",23000,62,"Personal_vehicle",2.43055555555556
"529",2022,"Car",15,12,"female",0,53,"Personal_vehicle",1.04166666666667
"530",2024,"Car",20,10,"female",30000,52,"Personal_vehicle",1.38888888888889
"532",2032,"Car",10,8,"female",26000,33,"Personal_vehicle",0.694444444444444
"533",2034,"Car",20,13,"female",59000,61,"Personal_vehicle",1.38888888888889
"534",2038,"Car",20,11,"male",0,17,"Personal_vehicle",1.38888888888889
"535",2040,"Car",15,15,"female",28000,62,"Personal_vehicle",1.04166666666667
"536",2042,"Truck",30,6,"male",0,63,"Personal_vehicle",2.08333333333333
"538",2046,"Truck",50,40,"male",60000,49,"Personal_vehicle",3.47222222222222
"539",2048,"Car",15,6,"male",0,84,"Personal_vehicle",1.04166666666667
"540",2050,"Truck",4,3,"male",54000,33,"Personal_vehicle",0.277777777777778
"541",2052,"Car",90,90,"female",63000,72,"Personal_vehicle",6.25
"542",2056,"Car",15,7,"male",0,58,"Personal_vehicle",1.04166666666667
"543",2058,"Car",10,3,"male",0,55,"Personal_vehicle",0.694444444444444
"544",2062,"Truck",15,10,"male",47000,61,"Personal_vehicle",1.04166666666667
"545",2066,"Car",25,15,"male",0,28,"Personal_vehicle",1.73611111111111
"546",2068,"Car",10,6,"male",5000,60,"Personal_vehicle",0.694444444444444
"547",2072,"Truck",20,5,"male",60000,55,"Personal_vehicle",1.38888888888889
"548",2074,"Walked",5,0,"female",0,25,"Other",0.347222222222222
"549",2076,"Car",10,5,"female",0,45,"Personal_vehicle",0.694444444444444
"550",2078,"Other",30,5,"male",38900,39,"Other",2.08333333333333
"551",2080,"Truck",45,20,"male",0,27,"Personal_vehicle",3.125
