SMSA	PERSON	PASS	TRAN	TIMEJ	DISTJ	WHHRW	WHHRB	AMPM	HJOB	VEHCL	WHDY	WHOME	WTIME	JTRAN	JVEHCL	JPASS	JTIMEJ	JDISTJ	JWTIME	JWHHRW	JWHHRB	JWHDY	CONTROL
5560	1	 	2	23	20	 	0	1	1	1	B	2	0500	 	 	 	 	 	 	 	 	 	000000003071
5560	1	 	2	15	20	 	0	1	1	1	B	2	0530	 	 	 	 	1	 	 	 	 	000000003074
5560	1	 	1	10	5	 	0	1	1	1	B	2	0745	 	 	 	 	 	 	 	 	 	000000003078
5560	2	 	1	10	5	 	0	2	1	1	B	2	0445	 	 	 	 	 	 	 	 	 	000000003078
5560	1	 	3	3	2	 	2	R	1	1	B	2	R	 	 	 	 	 	 	 	 	 	000000003086
5560	1	 	2	20	11	 	0	1	1	1	B	2	0745	 	 	 	 	 	 	 	 	 	000000003088
5560	1	2	3	30	15	 	0	1	1	2	B	2	0620	 	 	 	 	 	 	 	 	 	000000003094
5560	4	2	3	30	15	 	0	1	1	2	B	2	0620	 	 	 	 	 	 	 	 	 	000000003094
5560	1	 	12	996	996	25	0	B	1	B	6	1	B	 	 	 	1	1	 	 	 	 	000000003100
5560	1	5	3	10	2	 	0	1	1	2	B	2	1000	 	 	 	 	 	 	 	 	 	000000003102
5560	1	 	2	30	20	 	2	1	1	1	B	2	0745	 	 	 	 	 	 	 	 	 	000000003106
5560	1	 	1	30	15	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000003110
5560	1	 	1	8	3	6	0	1	1	1	1	1	0845	 	 	 	 	 	 	 	 	 	000000003114
5560	1	4	2	35	35	 	2	1	1	2	B	2	0700	 	 	 	 	 	 	 	 	 	000000003122
5560	2	 	1	15	15	 	2	1	1	1	B	2	0900	 	 	 	 	 	 	 	 	 	000000003122
5560	3	4	2	35	35	 	2	1	1	2	B	2	0700	 	 	 	 	 	 	 	 	 	000000003122
5560	2	2	1	30	11	 	0	1	1	2	B	2	0900	 	 	 	 	 	 	 	 	 	000000003124
5560	1	 	1	45	7	 	0	2	1	1	B	2	0200	 	 	 	 	 	 	 	 	 	000000003126
5560	2	2	1	5	5	 	0	1	1	2	B	2	0820	 	 	 	 	 	 	 	 	 	000000003128
5560	1	 	1	15	10	5	0	1	1	1	2	1	0645	 	 	 	 	 	 	 	 	 	000000003130
5560	2	 	1	30	20	 	0	1	1	1	B	2	0630	 	 	 	 	2	 	 	 	 	000000003136
5560	1	3	2	30	30	 	2	1	1	2	B	2	0100	 	 	 	 	 	 	 	 	 	000000003142
5560	2	3	2	30	30	 	2	1	1	2	B	2	0100	 	 	 	 	 	 	 	 	 	000000003142
5560	1	 	2	20	12	 	2	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000003151
5560	1	 	1	30	12	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000003154
5560	2	 	1	15	4	3	0	1	1	1	0	1	0845	 	 	 	 	 	 	 	 	 	000000003154
5560	1	 	2	10	5	 	0	1	1	1	B	2	0550	 	 	 	 	 	 	 	 	 	000000003163
5560	2	 	2	20	15	 	0	1	1	1	B	2	0845	 	 	 	 	 	 	 	 	 	000000003163
5560	1	2	1	10	6	 	0	1	1	2	B	2	0900	 	 	 	 	 	 	 	 	 	000000003167
5560	2	2	1	15	11	 	0	1	1	2	B	2	0900	 	 	 	 	 	 	 	 	 	000000003167
5560	1	 	11	2	0	 	0	1	1	B	B	2	0615	 	 	 	 	1	 	 	 	 	000000003173
5560	1	2	1	15	20	 	0	1	1	2	B	2	0530	 	 	 	 	 	 	 	 	 	000000003175
5560	2	 	1	20	17	 	0	2	1	1	B	2	0130	 	 	 	 	 	 	 	 	 	000000003175
5560	1	 	12	996	996	 	0	B	1	B	B	2	B	 	 	 	1	1	 	 	 	 	000000003179
5560	1	 	12	996	996	 	6	B	1	B	B	2	B	 	 	 	1	1	 	 	 	 	000000003181
5560	1	 	1	2	2	 	0	1	1	1	B	2	D	 	 	 	2	2	 	 	 	 	000000003187
5560	2	 	2	2	2	 	0	1	1	1	B	2	0700	 	 	 	2	2	 	 	 	 	000000003187
5560	1	 	1	40	35	 	2	1	1	1	B	2	0330	 	 	 	 	 	 	 	 	 	000000003189
5560	2	 	1	30	30	 	2	1	1	1	B	2	0830	 	 	 	 	 	 	 	 	 	000000003189
5560	1	 	12	996	996	7	0	B	1	B	3	1	B	 	 	 	1	1	 	 	 	 	000000003197
5560	1	2	1	15	6	 	0	2	1	2	B	2	0400	 	 	 	 	 	 	 	 	 	000000003207
5560	2	 	1	30	15	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000003219
5560	1	 	1	15	10	 	2	1	1	1	B	2	0845	 	 	 	 	 	 	 	 	 	000000003235
5560	2	4	1	35	23	 	5	1	1	2	1	1	0600	 	 	2	2	2	 	 	 	 	000000003242
5560	2	2	1	20	20	 	0	1	1	2	B	2	0800	 	 	2	 	 	 	 	 	 	000000003244
5560	1	 	2	25	25	 	0	1	1	1	B	2	0400	 	 	 	 	 	 	 	 	 	000000003247
5560	2	 	2	5	5	10	5	1	2	1	5	1	D	 	 	 	 	 	 	 	 	 	000000003247
5560	1	 	1	5	5	 	0	1	2	1	B	2	0800	 	 	 	2	2	 	 	 	 	000000003249
